Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
NVIDIA CORP,NVDA,67066G104,2379504,8.023810,-,289765024.000,USD,,,,
APPLE INC,AAPL,037833100,2046251,6.455382,-,175064256.000,USD,,,,
MICROSOFT CORP,MSFT,594918104,2588173,5.203092,-,88545499.000,USD,,,,
AMAZON.COM INC,AMZN,023135106,2000019,4.032899,-,116484566.000,USD,,,,
ALPHABET INC CL A,GOOGL,02079K305,BYVY8G0,3.195794,-,69421838.000,USD,,,,
BROADCOM INC,AVGO,11135F101,BDZ78H9,3.149855,-,56534761.000,USD,,,,
ALPHABET INC CL C,GOOG,02079K107,BYY88Y7,2.553587,-,55776758.000,USD,,,,
META PLATFORMS INC CLASS A,META,30303M102,B7TL820,2.417067,-,26085615.000,USD,,,,
TESLA INC,TSLA,88160R101,B616C79,1.795706,-,33543644.000,USD,,,,
BERKSHIRE HATHAWAY INC CL B,BRK.B,084670702,2073390,1.419535,-,21871123.000,USD,,,,
JPMORGAN CHASE + CO,JPM,46625H100,2190385,1.394442,-,32158136.000,USD,,,,
ELI LILLY + CO,LLY,532457108,2516152,1.182407,-,9451575.000,USD,,,,
EXXON MOBIL CORP,XOM,30231G102,2326618,1.024476,-,49844765.000,USD,,,,
WALMART INC,WMT,931142103,2936921,0.938788,-,52287432.000,USD,,,,
JOHNSON + JOHNSON,JNJ,478160104,2475833,0.900618,-,28744818.000,USD,,,,
VISA INC CLASS A SHARES,V,92826C839,B2PZN04,0.861016,-,20052480.000,USD,,,,
MICRON TECHNOLOGY INC,MU,595112103,2588184,0.835504,-,13420517.000,USD,,,,
ADVANCED MICRO DEVICES,AMD,007903107,2007849,0.766593,-,19450585.000,USD,,,,
COSTCO WHOLESALE CORP,COST,22160K105,2701271,0.737883,-,5295491.000,USD,,,,
MASTERCARD INC   A,MA,57636Q104,B121557,0.688218,-,9714991.000,USD,,,,
NETFLIX INC,NFLX,64110L106,2857817,0.645972,-,50365260.000,USD,,,,
CATERPILLAR INC,CAT,149123101,2180201,0.615547,-,5550877.000,USD,,,,
ABBVIE INC,ABBV,00287Y109,B92SR70,0.599112,-,21083107.000,USD,,,,
BANK OF AMERICA CORP,BAC,060505104,2295677,0.586480,-,79158308.000,USD,,,,
CISCO SYSTEMS INC,CSCO,17275R102,2198163,0.585656,-,47128601.000,USD,,,,
CHEVRON CORP,CVX,166764100,2838555,0.576130,-,22360875.000,USD,,,,
HOME DEPOT INC,HD,437076102,2434209,0.565377,-,11866293.000,USD,,,,
PALANTIR TECHNOLOGIES INC A,PLTR,69608A108,BN78DQ4,0.550642,-,27229560.000,USD,,,,
PROCTER + GAMBLE CO/THE,PG,742718109,2704407,0.546187,-,27701939.000,USD,,,,
LAM RESEARCH CORP,LRCX,512807306,BSML4N7,0.532767,-,14884357.000,USD,,,,
UNITEDHEALTH GROUP INC,UNH,91324P102,2917766,0.517533,-,10796522.000,USD,,,,
APPLIED MATERIALS INC,AMAT,038222105,2046552,0.516838,-,9460822.000,USD,,,,
INTEL CORP,INTC,458140100,2463247,0.513917,-,55985621.000,USD,,,,
ORACLE CORP,ORCL,68389X105,2661568,0.507475,-,20219172.000,USD,,,,
GENERAL ELECTRIC,GE,369604301,BL59CR9,0.496588,-,12501370.000,USD,,,,
COCA COLA CO/THE,KO,191216100,2206657,0.477542,-,46145059.000,USD,,,,
MERCK + CO. INC.,MRK,58933Y105,2778844,0.461736,-,29610435.000,USD,,,,
GOLDMAN SACHS GROUP INC,GS,38141G104,2407966,0.458812,-,3574376.000,USD,,,,
GE VERNOVA INC,GEV,36828A101,BP6H4Y1,0.441177,-,3212495.000,USD,,,,
WELLS FARGO + CO,WFC,949746101,2649100,0.416415,-,36858406.000,USD,,,,
RTX CORP,RTX,75513E101,BM5M5Y3,0.414851,-,15998907.000,USD,,,,
INTL BUSINESS MACHINES CORP,IBM,459200101,2005973,0.394614,-,11140658.000,USD,,,,
PHILIP MORRIS INTERNATIONAL,PM,718172109,B2PKRQ3,0.393901,-,18553295.000,USD,,,,
