Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
APELLIS PHARMACEUTICALS INC,APLS,03753U106,BYTQ6X1,1.748022,-,3791404.000,USD,,,,
SUMMIT THERAPEUTICS INC,SMMT,86627T108,BMTVQS7,1.616717,-,5442023.000,USD,,,,
REVOLUTION MEDICINES INC,RVMD,76155X100,BL71K91,1.595383,-,951418.000,USD,,,,
TWIST BIOSCIENCE CORP,TWST,90184D100,BGKG6G7,1.425660,-,2021964.000,USD,,,,
TRAVERE THERAPEUTICS INC,TVTX,89422G107,BLFGJD5,1.398313,-,3201825.000,USD,,,,
TG THERAPEUTICS INC,TGTX,88322Q108,B828K63,1.379955,-,3377526.000,USD,,,,
ERASCA INC,ERAS,29479A108,BNLYBF3,1.335760,-,5292827.000,USD,,,,
ARROWHEAD PHARMACEUTICALS IN,ARWR,04280A100,BYQBFJ8,1.304725,-,1630632.000,USD,,,,
MADRIGAL PHARMACEUTICALS INC,MDGL,558868105,BD59BS7,1.304452,-,219508.000,USD,,,,
APOGEE THERAPEUTICS INC,APGE,03770N101,BM9HHL5,1.298059,-,1268594.000,USD,,,,
ALKERMES PLC,ALKS,G01767105,B3P6D26,1.287849,-,3411630.000,USD,,,,
BEAM THERAPEUTICS INC,BEAM,07373V105,BK6L288,1.255560,-,3632801.000,USD,,,,
PRAXIS PRECISION MEDICINES I,PRAX,74006W207,BQ721R4,1.224743,-,319077.000,USD,,,,
SCHOLAR ROCK HOLDING CORP,SRRK,80706P103,BFZQ0L8,1.188485,-,2194065.000,USD,,,,
CRISPR THERAPEUTICS AG,CRSP,H17182108,BDHF4K6,1.186857,-,1897551.000,USD,,,,
EXELIXIS INC,EXEL,30161Q104,2576941,1.172754,-,2269290.000,USD,,,,
PROTAGONIST THERAPEUTICS INC,PTGX,74366E102,BDCBCD8,1.171048,-,982021.000,USD,,,,
CELCUITY INC,CELC,15102K100,BDH6M05,1.162133,-,818550.000,USD,,,,
CG ONCOLOGY INC,CGON,156944100,BRBCSP4,1.155212,-,1427895.000,USD,,,,
KYMERA THERAPEUTICS INC,KYMR,501575104,BMPRZV5,1.152683,-,1162205.000,USD,,,,
PTC THERAPEUTICS INC,PTCT,69366J200,B17VCN9,1.147527,-,1442696.000,USD,,,,
NUVALENT INC A,NUVL,670703107,BMVBZD3,1.142351,-,946868.000,USD,,,,
KRYSTAL BIOTECH INC,KRYS,501147102,BD6JX35,1.141034,-,371602.000,USD,,,,
BRIDGEBIO PHARMA INC,BBIO,10806X102,BK1KWG8,1.138498,-,1327066.000,USD,,,,
UNITED THERAPEUTICS CORP,UTHR,91307C102,2430412,1.123412,-,173955.000,USD,,,,
VAXCYTE INC,PCVX,92243G108,BKPVGH6,1.122927,-,1646790.000,USD,,,,
NATERA INC,NTRA,632307104,BYQRG48,1.114591,-,481808.000,USD,,,,
CYTOKINETICS INC,CYTK,23282W605,BBBSBJ5,1.103387,-,1489028.000,USD,,,,
HALOZYME THERAPEUTICS INC,HALO,40637H109,2975098,1.097971,-,1425189.000,USD,,,,
COGENT BIOSCIENCES INC,COGT,19240Q201,BLR6XK8,1.086150,-,2625851.000,USD,,,,
MIRUM PHARMACEUTICALS INC,MIRM,604749101,BJDX8Y8,1.085357,-,1032648.000,USD,,,,
INCYTE CORP,INCY,45337C102,2471950,1.084551,-,1000888.000,USD,,,,
INSMED INC,INSM,457669307,2614487,1.079003,-,679620.000,USD,,,,
AMICUS THERAPEUTICS INC,FOLD,03152W109,B19FQ48,1.073627,-,6593044.000,USD,,,,
ARCELLX INC,ACLX,03940C100,BPCJ1Q2,1.072801,-,828510.000,USD,,,,
NEUROCRINE BIOSCIENCES INC,NBIX,64125C109,2623911,1.072466,-,731319.000,USD,,,,
IONIS PHARMACEUTICALS INC,IONS,462222100,BDJ0LS6,1.066849,-,1266831.000,USD,,,,
ROIVANT SCIENCES LTD,ROIV,G76279101,BMW4NZ9,1.056526,-,3203037.000,USD,,,,
IMMUNITYBIO INC,IBRX,45256X103,BNSP0B8,1.044985,-,11455817.000,USD,,,,
BIOGEN INC,BIIB,09062X103,2455965,1.041558,-,497380.000,USD,,,,
MODERNA INC,MRNA,60770K107,BGSXTS3,1.033785,-,1692745.000,USD,,,,
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,1.029542,-,122325.000,USD,,,,
ALNYLAM PHARMACEUTICALS INC,ALNY,02043Q107,B00FWN1,1.027281,-,295756.000,USD,,,,
ARCUTIS BIOTHERAPEUTICS INC,ARQT,03969K108,BKX9VD3,1.013121,-,3844560.000,USD,,,,
VIKING THERAPEUTICS INC,VKTX,92686J106,BQQG1V1,1.008476,-,2649414.000,USD,,,,
RHYTHM PHARMACEUTICALS INC,RYTM,76243J105,BF2YWG4,1.006575,-,1052537.000,USD,,,,
SOLENO THERAPEUTICS INC,SLNO,834203309,BL6JK96,0.992654,-,1672903.000,USD,,,,
AMGEN INC,AMGN,031162100,2023607,0.975010,-,251054.000,USD,,,,
GILEAD SCIENCES INC,GILD,375558103,2369174,0.974206,-,649014.000,USD,,,,
BIOMARIN PHARMACEUTICAL INC,BMRN,09061G101,2437071,0.966149,-,1570701.000,USD,,,,
VERA THERAPEUTICS INC,VERA,92337R101,BL55460,0.964581,-,2138104.000,USD,,,,
ABBVIE INC,ABBV,00287Y109,B92SR70,0.961187,-,416103.000,USD,,,,
SPYRE THERAPEUTICS INC,SYRE,00773J202,BQBBDY8,0.959969,-,1196056.000,USD,,,,
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,0.946109,-,192428.000,USD,,,,
ULTRAGENYX PHARMACEUTICAL IN,RARE,90400D108,BJ62Z18,0.943222,-,3475345.000,USD,,,,
ACADIA PHARMACEUTICALS INC,ACAD,004225108,2713317,0.936919,-,3816336.000,USD,,,,
IMMUNOVANT INC,IMVT,45258J102,BJRFSB7,0.914090,-,2870188.000,USD,,,,
IMMUNOME INC,IMNM,45257U108,BM8FWX7,0.881468,-,3281852.000,USD,,,,
DISC MEDICINE INC,IRON,254604101,BMGJZJ8,0.880384,-,1131673.000,USD,,,,
DYNE THERAPEUTICS INC,DYN,26818M108,BN15WD1,0.831585,-,3843974.000,USD,,,,
VERACYTE INC,VCYT,92337F107,BFTWZY0,0.826162,-,2189231.000,USD,,,,
SAREPTA THERAPEUTICS INC,SRPT,803607100,B8DPDT7,0.796129,-,3418488.000,USD,,,,
KODIAK SCIENCES INC,KOD,50015M109,BFXC933,0.781025,-,1503101.000,USD,,,,
RECURSION PHARMACEUTICALS A,RXRX,75629V104,BM9FJ13,0.750160,-,18711334.000,USD,,,,
CATALYST PHARMACEUTICALS INC,CPRX,14888U101,B1G7Q03,0.732382,-,2536417.000,USD,,,,
INTELLIA THERAPEUTICS INC,NTLA,45826J105,BYZM6C2,0.723655,-,4197176.000,USD,,,,
BIOCRYST PHARMACEUTICALS INC,BCRX,09058V103,2100362,0.719087,-,7442097.000,USD,,,,
DENALI THERAPEUTICS INC,DNLI,24823R105,BD2B4V0,0.717611,-,3165529.000,USD,,,,
TANGO THERAPEUTICS INC,TNGX,87583X109,BP2P6L0,0.689819,-,2205771.000,USD,,,,
SYNDAX PHARMACEUTICALS INC,SNDX,87164F105,BN7Q7R7,0.688448,-,2620337.000,USD,,,,
GRAIL INC,GRAL,384747101,BSLSSX7,0.669472,-,1164495.000,USD,,,,
ARCUS BIOSCIENCES INC,RCUS,03969F109,BDZT9Y9,0.667999,-,2419113.000,USD,,,,
ADMA BIOLOGICS INC,ADMA,000899104,B9NSBM2,0.667388,-,5497442.000,USD,,,,
DIANTHUS THERAPEUTICS INC,DNTH,252828108,BN4J951,0.665964,-,655973.000,USD,,,,
ORUKA THERAPEUTICS INC,ORKA,687604108,BKVF0J2,0.661236,-,850958.000,USD,,,,
IDEAYA BIOSCIENCES INC,IDYA,45166A102,BK0VHF6,0.652829,-,1821226.000,USD,,,,
MINERALYS THERAPEUTICS INC,MLYS,603170101,BP9N0G0,0.642641,-,1982798.000,USD,,,,
AGIOS PHARMACEUTICALS INC,AGIO,00847X104,BCBVTX1,0.639082,-,2158574.000,USD,,,,
RELAY THERAPEUTICS INC,RLAY,75943R102,BN2R582,0.599049,-,3166314.000,USD,,,,
NURIX THERAPEUTICS INC,NRIX,67080M103,BMVLGP2,0.581725,-,3142077.000,USD,,,,
ARDELYX INC,ARDX,039697107,BN89V40,0.575247,-,8570554.000,USD,,,,
CELLDEX THERAPEUTICS INC,CLDX,15117B202,BJLV8T9,0.527326,-,1367160.000,USD,,,,
CAPRICOR THERAPEUTICS INC,CAPR,14070B309,BK7Y2Z3,0.521556,-,1310494.000,USD,,,,
OLEMA PHARMACEUTICALS INC,OLMA,68062P106,BMZ4LN0,0.517649,-,2764037.000,USD,,,,
MONTE ROSA THERAPEUTICS INC,GLUE,61225M102,BP7KZP7,0.517349,-,2199106.000,USD,,,,
STOKE THERAPEUTICS INC,STOK,86150R107,BJQ05Z6,0.504798,-,1258772.000,USD,,,,
NOVAVAX INC,NVAX,670002401,BJDQXG4,0.499059,-,5219700.000,USD,,,,
BIOHAVEN LTD,BHVN,G1110E107,BPLZ7S5,0.493344,-,4299090.000,USD,,,,
VIRIDIAN THERAPEUTICS INC,VRDN,92790C104,BMDH2B6,0.479620,-,2982432.000,USD,,,,
VERICEL CORP,VCEL,92346J108,BSBMN89,0.473309,-,1248252.000,USD,,,,
CORVUS PHARMACEUTICALS INC,CRVS,221015100,BYP80F1,0.456907,-,2367108.000,USD,,,,
PALVELLA THERAPEUTICS INC,PVLA,697947109,BTCG280,0.451229,-,306682.000,USD,,,,
TAYSHA GENE THERAPIES INC,TSHA,877619106,BNC1BX1,0.441661,-,6305217.000,USD,,,,
CAREDX INC,CDNA,14167L103,BP3YM74,0.386438,-,1655319.000,USD,,,,
IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,BF0DMK7,0.379253,-,9101816.000,USD,,,,
UNIQURE NV,QURE,N90064101,BJFSR88,0.372960,-,1897877.000,USD,,,,
MANNKIND CORP,MNKD,56400P706,BF081J4,0.371737,-,12225689.000,USD,,,,
VIR BIOTECHNOLOGY INC,VIR,92764N102,BK4PZ38,0.344721,-,2826445.000,USD,,,,
ANAPTYSBIO INC,ANAB,032724106,BDRW1L7,0.334199,-,572675.000,USD,,,,
INHIBRX BIOSCIENCES INC,INBX,45720N103,BNSP8K3,0.313894,-,331506.000,USD,,,,
