entry_z,exit_z,ticker,n_trades,total_pnl_net,sharpe_net,max_drawdown,total_txn_cost
0.5,-0.5,SPY,20,7006.368410123376,0.6071752621234209,-4667.139189352109,500.036121338822
0.5,-0.5,XBI,12,-2608.560656730838,-0.13937343028715798,-10261.365041929374,3638.757948856047
0.5,-0.5,XLK,16,-2585.2087127731565,-0.13918697880772785,-11415.656165497358,3466.40085961691
0.5,-0.25,SPY,25,10098.772791050425,0.9537328150460986,-4667.13918935211,631.8930294562471
0.5,-0.25,XBI,12,-2138.1267098861344,-0.11923978933097291,-10401.45940459356,3772.3994945358727
0.5,-0.25,XLK,22,320.8945473998217,0.019041018535094295,-10614.369507583297,4645.8912939209395
0.5,0.0,SPY,29,7384.390095025569,0.7391843925727272,-4599.22809781897,852.0288959635299
0.5,0.0,XBI,16,-3253.812887046033,-0.2074988329691845,-12758.330631867822,5181.082451212364
0.5,0.0,XLK,28,-545.56434202697,-0.03420960536318818,-8386.029394975092,5902.145404237001
0.5,0.25,SPY,35,5138.184323127308,0.5463605006499855,-4599.22809781897,950.5649154258607
0.5,0.25,XBI,20,-2925.1404931511033,-0.1973971499338847,-12767.960644928939,6609.121911586581
0.5,0.25,XLK,40,-6765.245527762581,-0.4493551081017558,-11722.212729654757,8376.962455320749
0.75,-0.5,SPY,16,7365.919510346787,0.681822428685492,-4646.998874763605,433.92944430382886
0.75,-0.5,XBI,10,-1334.8469614100268,-0.07530729106063053,-7582.146898208356,3096.231176446867
0.75,-0.5,XLK,14,-2828.6160669424535,-0.16781299629901322,-11166.232364079997,2944.579613111138
0.75,-0.25,SPY,19,7908.0396517491345,0.8364451007874546,-4646.998874763604,500.5196214645515
0.75,-0.25,XBI,10,-127.78121758470894,-0.007528543915340565,-7722.241260872538,3149.408904148707
0.75,-0.25,XLK,18,1806.087672515613,0.11534764958331645,-9721.848012454842,3678.340711121039
0.75,0.0,SPY,21,5842.403613345797,0.6497283677440511,-4646.998874763607,689.4004107482197
0.75,0.0,XBI,12,-344.56128031482933,-0.023982055619473638,-9651.87016403105,3852.6163418133056
0.75,0.0,XLK,23,676.3025645218503,0.04653717295304184,-7724.640216327989,4659.1818643663255
0.75,0.25,SPY,26,3241.5607197305785,0.38995125221223786,-4646.998874763607,770.5227731633971
0.75,0.25,XBI,15,503.0049874772502,0.03595169909958716,-9569.841477157137,5117.0282456178065
0.75,0.25,XLK,33,-4908.109360876726,-0.3597467536222168,-9263.249650395406,6463.699691975793
1.0,-0.5,SPY,14,5164.666233274595,0.5175018478202894,-4646.998874763607,417.53653027286043
1.0,-0.5,XBI,8,-2866.4538718683343,-0.20404775884936566,-9093.176537034073,2225.3405993134634
1.0,-0.5,XLK,11,-2021.1739668395542,-0.133255041206291,-9672.272004619947,2327.7918415393297
1.0,-0.25,SPY,16,5010.058684774928,0.5723408578382795,-4646.998874763607,423.3875493354501
