date,sigma_basket,n_constituents,missing_constituents
2022-03-29,0.190249360845585,42,8
2022-03-30,0.191800295101249,42,8
2022-03-31,0.20114558647084105,42,8
2022-04-01,0.19434172476005188,42,8
2022-04-04,0.18970145915541162,42,8
2022-04-05,0.20494252691629292,42,8
2022-04-06,0.21959922238365304,42,8
2022-04-07,0.21264274461297633,42,8
2022-04-08,0.21313935324014927,42,8
2022-04-11,0.22785872203563104,42,8
2022-04-12,0.22493766009610083,42,8
2022-04-13,0.21217932401363726,42,8
2022-04-14,0.2183809815973888,42,8
2022-04-18,0.21822288824441255,42,8
2022-04-19,0.21328286184208073,42,8
2022-04-20,0.21679893027832836,42,8
2022-04-21,0.22361588553798467,42,8
2022-04-22,0.25089372366645407,42,8
2022-04-25,0.254455557297007,42,8
2022-04-26,0.28313993641823204,42,8
2022-04-27,0.25601752148777385,42,8
2022-04-28,0.23421941404865043,42,8
2022-04-29,0.25138273946968903,42,8
2022-05-02,0.2488639978428045,42,8
2022-05-03,0.2460159928580375,42,8
2022-05-04,0.2299082228134681,42,8
2022-05-05,0.2692795686677744,42,8
2022-05-06,0.26755808426419375,42,8
2022-05-09,0.29364277287791846,42,8
2022-05-10,0.28367342004610846,42,8
2022-05-11,0.29096301343408554,42,8
2022-05-12,0.2905045896709195,42,8
2022-05-13,0.2717017349407127,42,8
2022-05-16,0.26655651042379325,42,8
2022-05-17,0.2483966775849307,42,8
2022-05-18,0.2821139138558915,42,8
2022-05-19,0.2711325241208368,42,8
2022-05-20,0.265450808784079,42,8
2022-05-23,0.26279231182947843,42,8
2022-05-24,0.2703892601181537,42,8
2022-05-25,0.26488271600819746,42,8
2022-05-26,0.2516910580319412,42,8
2022-05-27,0.23860389545103838,42,8
2022-05-31,0.2530769160538551,42,8
2022-06-01,0.25088334713432997,42,8
2022-06-02,0.23939021255083967,42,8
2022-06-03,0.2438057041420992,42,8
2022-06-06,0.24386953877698758,42,8
2022-06-07,0.23413160521775767,42,8
2022-06-08,0.23340427717048223,42,8
2022-06-09,0.25051373467915894,42,8
2022-06-10,0.268270358799262,42,8
2022-06-13,0.3085282753568273,42,8
2022-06-14,0.29004225488946384,42,8
2022-06-15,0.27539785576384446,42,8
2022-06-16,0.2990359359280825,42,8
2022-06-17,0.281620659458805,42,8
2022-06-21,0.27767827573385223,42,8
2022-06-22,0.2817160129482787,42,8
2022-06-23,0.28487119498137436,42,8
2022-06-24,0.2745251323100837,42,8
2022-06-27,0.27924374555774617,42,8
2022-06-28,0.2925315986638525,42,8
2022-06-29,0.2888996541275204,42,8
2022-06-30,0.2935399771314724,42,8
2022-07-01,0.28255267451623384,42,8
2022-07-05,0.28750095554458677,42,8
2022-07-06,0.28606007324581023,42,8
2022-07-07,0.27382186525051255,42,8
2022-07-08,0.26555045250761433,42,8
2022-07-11,0.28008254779854,42,8
2022-07-12,0.2899631211189838,42,8
2022-07-13,0.2882753190198164,42,8
2022-07-14,0.28488199697971195,42,8
2022-07-15,0.27008769233156266,42,8
2022-07-18,0.2851395681811085,42,8
2022-07-19,0.27318979472381755,42,8
2022-07-20,0.2693315128040238,42,8
2022-07-21,0.26000020569955573,42,8
2022-07-22,0.25947807099924536,42,8
2022-07-25,0.2709015518901443,42,8
2022-07-26,0.2810290822753911,42,8
2022-07-27,0.24575058770035832,42,8
2022-07-28,0.23885308052760948,42,8
2022-07-29,0.21581657642802662,42,8
2022-08-01,0.2235842185175242,42,8
2022-08-02,0.22764703582346493,42,8
2022-08-03,0.21897069199028918,42,8
2022-08-04,0.21262937651271246,42,8
2022-08-05,0.2078033921724969,42,8
2022-08-08,0.21251523188907642,42,8
2022-08-09,0.21887142234137308,42,8
2022-08-10,0.20218471243709857,42,8
2022-08-11,0.20896883194536997,42,8
2022-08-12,0.20253500290364634,42,8
2022-08-15,0.19910170202897168,42,8
2022-08-16,0.20044374565292117,42,8
2022-08-17,0.20631908988902709,42,8
2022-08-18,0.2039151616255708,42,8
2022-08-19,0.20898225327451034,42,8
2022-08-22,0.22962024223362404,42,8
2022-08-23,0.22871284135394604,42,8
2022-08-24,0.2235684226334795,42,8
2022-08-25,0.22153678286415648,43,7
2022-08-26,0.24776147931851433,43,7
2022-08-29,0.25365644571217955,43,7
2022-08-30,0.25377682467798446,43,7
2022-08-31,0.2545115109662386,43,7
2022-09-01,0.24754954124144596,43,7
2022-09-02,0.2533179395315577,43,7
2022-09-06,0.258482964962346,43,7
2022-09-07,0.24410542043027875,43,7
2022-09-08,0.23412807758569673,43,7
2022-09-09,0.22704476731577353,43,7
2022-09-12,0.22849981329607758,43,7
2022-09-13,0.2605841252336685,43,7
2022-09-14,0.2555337557660021,43,7
2022-09-15,0.26151269958355366,43,7
2022-09-16,0.26707476435085314,43,7
2022-09-19,0.2546365282875686,43,7
2022-09-20,0.2566212006526401,43,7
2022-09-21,0.2678860543813595,43,7
2022-09-22,0.27122824164387827,43,7
2022-09-23,0.27746944275898666,43,7
2022-09-26,0.2898898522595661,43,7
2022-09-27,0.2920308632092777,43,7
2022-09-28,0.2821006930965524,43,7
2022-09-29,0.29313450245985523,43,7
2022-09-30,0.29547619845075446,43,7
2022-10-03,0.2827855072932754,43,7
2022-10-04,0.2765014933977808,43,7
2022-10-05,0.28334560240090545,43,7
2022-10-06,0.28721490051756426,43,7
2022-10-07,0.3002258224729189,43,7
2022-10-10,0.3103997183073471,43,7
2022-10-11,0.31534347970365956,43,7
2022-10-12,0.3166095776621408,43,7
2022-10-13,0.29826340739990126,43,7
2022-10-14,0.30349600372395624,43,7
2022-10-17,0.3029778877168182,43,7
2022-10-18,0.3034265069336048,43,7
2022-10-19,0.30402134376920287,43,7
2022-10-20,0.2940399512221273,43,7
2022-10-21,0.2918996775077993,43,7
2022-10-24,0.2967054001145603,43,7
2022-10-25,0.29226718919952865,43,7
2022-10-26,0.2800158194819421,43,7
2022-10-27,0.28166603147197977,43,7
2022-10-28,0.2547209019128216,43,7
2022-10-31,0.25761036830185463,43,7
2022-11-01,0.2581906225326707,43,7
2022-11-02,0.2701548115858865,43,7
2022-11-03,0.26669134450180715,43,7
2022-11-04,0.26023573279679957,43,7
2022-11-07,0.26001555065621346,43,7
2022-11-08,0.25998532793322554,43,7
2022-11-09,0.2722725719783487,43,7
2022-11-10,0.2608356529949312,43,7
2022-11-11,0.2538271861821613,43,7
2022-11-14,0.26092833832336754,43,7
2022-11-15,0.2566116189382693,43,7
2022-11-16,0.2608241312660517,43,7
2022-11-17,0.25327298979231494,43,7
2022-11-18,0.24564909145032837,43,7
2022-11-21,0.23984692055816118,43,7
2022-11-22,0.23481231411165698,43,7
2022-11-23,0.22900107879579107,43,7
2022-11-25,0.23096752016779076,43,7
2022-11-28,0.2480135909022068,43,7
2022-11-29,0.2478569729349071,43,7
2022-11-30,0.23156198567380484,43,7
2022-12-01,0.2329644636084178,43,7
2022-12-02,0.22636717756520233,43,7
2022-12-05,0.23846325445170782,43,7
2022-12-06,0.24999486225026205,43,7
2022-12-07,0.24958612375712272,43,7
2022-12-08,0.24753642689117886,43,7
2022-12-09,0.25010591012913164,43,7
2022-12-12,0.25497322703696473,43,7
2022-12-13,0.24273480776411058,43,7
2022-12-14,0.23941306042549193,43,7
2022-12-15,0.2505918557711769,43,7
2022-12-16,0.2481244396210005,43,7
2022-12-19,0.24700520784144606,43,7
2022-12-20,0.24798425856356018,43,7
2022-12-21,0.23543934634758043,43,7
2022-12-22,0.2598172014030191,43,7
2022-12-23,0.2536148352869932,43,7
2022-12-27,0.2619711096044046,43,7
2022-12-28,0.26647118476710596,43,7
2022-12-29,0.2674728307491033,43,7
2022-12-30,0.2692481951570698,43,7
2023-01-03,0.2741358624459657,43,7
2023-01-04,0.2681516943095106,43,7
2023-01-05,0.26823548687584853,43,7
2023-01-06,0.2587899659407086,43,7
2023-01-09,0.26303985334102253,43,7
2023-01-10,0.2582119098064007,43,7
2023-01-11,0.2530996164078798,43,7
2023-01-12,0.23608420356643942,43,7
2023-01-13,0.22924368341658938,43,7
2023-01-17,0.23575548343236788,43,7
2023-01-18,0.24271831767959184,43,7
2023-01-19,0.24129631236695764,43,7
2023-01-20,0.22855977608965744,43,7
2023-01-23,0.22789318779089365,43,7
2023-01-24,0.23144932301399243,43,7
2023-01-25,0.22984105184525622,43,7
2023-01-26,0.22340784119798013,43,7
2023-01-27,0.22003898598961658,43,7
2023-01-30,0.2352200795727151,43,7
2023-01-31,0.22889701806438695,43,7
2023-02-01,0.22046918170254093,43,7
2023-02-02,0.22871633648545384,43,7
2023-02-03,0.21188830435921432,43,7
2023-02-06,0.2137083906691749,43,7
2023-02-07,0.2117641841115575,43,7
2023-02-08,0.21115238557836466,43,7
2023-02-09,0.21804913690601752,43,7
2023-02-10,0.21409560397195712,43,7
2023-02-13,0.2128379218780736,43,7
2023-02-14,0.20518175383931186,43,7
2023-02-15,0.19791407102139713,43,7
2023-02-16,0.20711712631426069,43,7
2023-02-17,0.2028446279754344,43,7
2023-02-21,0.2159526980123989,43,7
2023-02-22,0.21332918385782618,43,7
2023-02-23,0.20483459612871652,43,7
2023-02-24,0.2072105938841338,43,7
2023-02-27,0.20553473632937275,43,7
2023-02-28,0.19742566634287703,43,7
2023-03-01,0.19898271409535542,43,7
2023-03-02,0.19237580111189645,43,7
2023-03-03,0.18127218473363937,43,7
2023-03-06,0.18335527513989983,43,7
2023-03-07,0.1869082542059585,43,7
2023-03-08,0.1840424028048085,43,7
2023-03-09,0.19793623537765287,43,7
2023-03-10,0.20733572790135182,43,7
2023-03-13,0.21306326661167305,43,7
2023-03-14,0.20221691214643864,43,7
