secid,date,exdate,strike_price,cp_flag,impl_volatility,best_bid,best_offer,volume,delta
101218.0,2022-01-06,2022-02-18,24.0,C,0.46428,1.1,2.0,20.0,0.536486
101218.0,2022-01-19,2022-02-18,22.0,C,0.358484,2.5,3.7,25.0,0.903414
101218.0,2022-02-01,2022-03-18,25.0,C,0.493344,1.7,2.05,10.0,0.559294
101218.0,2022-02-08,2022-03-18,24.0,P,0.49288,1.8,2.1,75.0,-0.557456
101218.0,2022-02-14,2022-03-18,23.0,P,0.482707,1.1,1.45,30.0,-0.462472
101218.0,2022-02-16,2022-03-18,27.0,P,0.469188,1.45,1.7,11.0,-0.500926
101218.0,2022-02-16,2022-03-18,25.0,C,0.476465,2.25,2.65,26.0,0.713313
101218.0,2022-02-16,2022-03-18,28.0,C,0.452759,0.7,1.05,20.0,0.385875
101218.0,2022-02-16,2022-03-18,25.0,P,0.4741,0.55,0.85,125.0,-0.286321
101218.0,2022-02-17,2022-04-14,26.0,C,0.486644,1.45,1.85,18.0,0.486687
101218.0,2022-02-18,2022-04-14,26.0,C,0.48549,1.3,1.7,54.0,0.463039
101218.0,2022-02-23,2022-04-14,30.0,C,0.490111,0.15,0.4,46.0,0.13449
101218.0,2022-03-02,2022-04-14,25.0,C,0.49304,0.9,1.15,10.0,0.396526
101218.0,2022-03-10,2022-04-14,25.0,C,0.486552,1.1,1.65,10.0,0.503646
101218.0,2022-03-21,2022-05-20,26.0,C,0.426419,1.65,1.8,13.0,0.523042
101218.0,2022-03-21,2022-05-20,26.0,P,0.426959,1.5,2.2,17.0,-0.475795
101218.0,2022-03-22,2022-05-20,24.0,P,0.450485,0.75,1.15,35.0,-0.290448
101218.0,2022-03-24,2022-05-20,26.0,P,0.422283,1.3,1.7,50.0,-0.419284
101218.0,2022-03-28,2022-05-20,25.0,P,0.461618,0.7,1.05,24.0,-0.269552
101218.0,2022-03-29,2022-05-20,27.0,P,0.413077,1.0,1.5,121.0,-0.377071
101218.0,2022-03-30,2022-05-20,24.0,P,0.456648,0.55,0.9,1000.0,-0.246603
101218.0,2022-03-31,2022-05-20,23.0,P,0.45714,0.45,0.55,1300.0,-0.188578
101218.0,2022-04-01,2022-05-20,32.0,C,0.407485,0.25,0.6,10.0,0.196108
101218.0,2022-04-04,2022-05-20,28.0,C,0.433527,2.0,2.25,2240.0,0.59593
101218.0,2022-04-04,2022-05-20,30.0,C,0.412381,1.0,1.3,35.0,0.411635
101218.0,2022-04-05,2022-05-20,32.0,C,0.445063,0.45,0.85,31.0,0.260232
101218.0,2022-04-06,2022-05-20,28.0,C,0.465835,2.45,2.95,30.0,0.656551
101218.0,2022-04-06,2022-05-20,33.0,C,0.434838,0.35,0.9,25.0,0.252295
101218.0,2022-04-06,2022-05-20,26.0,P,0.481559,0.5,0.7,14.0,-0.200458
101218.0,2022-04-06,2022-05-20,29.0,P,0.411165,0.8,2.05,11.0,-0.423463
101218.0,2022-04-08,2022-05-20,28.0,C,0.450465,2.45,2.95,11.0,0.67392
101218.0,2022-04-13,2022-05-20,28.0,C,0.463961,1.85,2.3,83.0,0.600329
101218.0,2022-04-13,2022-05-20,29.0,C,0.448775,1.35,1.7,10.0,0.504948
101218.0,2022-04-13,2022-05-20,30.0,C,0.449179,0.95,1.3,838.0,0.411231
101218.0,2022-04-14,2022-05-20,27.0,P,0.469108,0.6,0.9,50.0,-0.264184
101218.0,2022-04-14,2022-05-20,30.0,C,0.43061,1.15,1.4,10.0,0.457572
101218.0,2022-04-14,2022-05-20,29.0,P,0.437488,1.25,1.65,10.0,-0.441737
101218.0,2022-04-18,2022-05-20,31.0,C,0.470977,0.65,1.0,15.0,0.333739
101218.0,2022-04-18,2022-05-20,32.0,C,0.479107,0.45,0.75,27.0,0.259901
101218.0,2022-04-18,2022-06-17,33.0,C,0.410389,0.55,0.7,543.0,0.239329
101218.0,2022-04-18,2022-06-17,29.0,P,0.435753,1.9,2.25,14.0,-0.470872
101218.0,2022-04-19,2022-05-20,27.0,P,0.454102,0.65,1.05,10.0,-0.321834
101218.0,2022-04-20,2022-06-17,34.0,C,0.432224,0.0,1.1,544.0,0.208425
101218.0,2022-04-28,2022-06-17,35.0,C,0.439676,0.25,0.65,46.0,0.183397
101218.0,2022-05-04,2022-06-17,26.0,P,0.428271,0.35,0.8,24.0,-0.216992
101218.0,2022-05-05,2022-06-17,29.0,C,0.397827,0.95,1.15,108.0,0.412175
101218.0,2022-05-09,2022-06-17,30.0,C,0.445008,0.3,0.65,122.0,0.227234
101218.0,2022-05-10,2022-06-17,29.0,C,0.47132,0.65,1.0,10.0,0.331477
101218.0,2022-05-20,2022-07-15,28.0,C,0.414898,2.8,3.3,55.0,0.693723
101218.0,2022-05-20,2022-07-15,31.0,C,0.426805,1.4,1.75,920.0,0.455898
