ticker,permno,secid
AAPL,14593,101594.0
MSFT,10107,107525.0
NVDA,86580,108321.0
AMZN,84788,101310.0
TSLA,93436,143439.0
GOOGL,90319,121812.0
META,13407,216158.0
GOOG,14542,203876.0
BRK,17778,112532.0
AVGO,93002,139322.0
JPM,47896,107693.0
UNH,92655,111469.0
V,92611,135419.0
JNJ,22111,106566.0
XOM,11850,104533.0
LLY,50876,106967.0
PG,18163,109224.0
MA,91233,126938.0
HOMD,66181,
COST,87055,103466.0
CVX,14541,102968.0
ABBV,13721,160586.0
WMT,55976,111860.0
BAC,59408,101966.0
MRK,22752,107430.0
CRM,90215,121592.0
KO,11308,103125.0
NFLX,89393,115422.0
PEP,13856,108893.0
CSCO,76076,103042.0
PFE,21936,108948.0
ADBE,75510,101062.0
TRMO,62092,
DIS,26403,129651.0
MCD,43449,107318.0
ABT,20482,100972.0
WFC,38703,111953.0
ORCL,10104,108505.0
AMDV,61241,
VZ,65875,111668.0
CMCSA,89525,103198.0
TXN,15579,110972.0
DHR,49680,103676.0
PM,92602,135403.0
QCOM,77178,109348.0
NEE,24205,104560.0
RTX,17830,111459.0
INTC,59328,106203.0
T,66093,109775.0
UNP,48725,111394.0
