permno,date,ret,prc,shrout
13721,2022-01-03,0.000148,135.42,1767880.0
13721,2022-01-04,-0.00192,135.16,1767880.0
13721,2022-01-05,0.005253,135.87,1767880.0
13721,2022-01-06,-0.00471,135.23,1767880.0
13721,2022-01-07,-0.002588,134.88,1767880.0
13721,2022-01-10,0.011195,136.39,1767880.0
13721,2022-01-11,0.004253,136.97,1767880.0
13721,2022-01-12,0.002336,137.28999,1767880.0
13721,2022-01-13,-0.01719,133.52,1767880.0
13721,2022-01-14,0.0176,135.87,1767880.0
13721,2022-01-18,0.006698,136.78,1767880.0
13721,2022-01-19,-0.011478,135.21001,1767880.0
13721,2022-01-20,-0.016123,133.03,1767880.0
13721,2022-01-21,-0.007893,131.98,1767880.0
13721,2022-01-24,0.001364,132.16,1767880.0
13721,2022-01-25,0.007037,133.09,1767880.0
13721,2022-01-26,0.008566,134.23,1767880.0
13721,2022-01-27,0.012963,135.97,1767880.0
13721,2022-01-28,0.014341,137.92,1767880.0
13721,2022-01-31,-0.007468,136.89,1767880.0
13721,2022-02-01,0.000804,137.0,1767880.0
13721,2022-02-02,0.011825,138.62,1767880.0
13721,2022-02-03,0.015222,140.73,1767880.0
13721,2022-02-04,-0.000568,140.64999,1767880.0
13721,2022-02-07,0.013367,142.53,1767880.0
13721,2022-02-08,0.006876,143.50999,1767880.0
13721,2022-02-09,-0.00216,143.2,1767880.0
13721,2022-02-10,-0.003422,142.71001,1767880.0
13721,2022-02-11,-0.004905,142.00999,1767880.0
13721,2022-02-14,0.006971,143.0,1767880.0
13721,2022-02-15,0.012308,144.75999,1767880.0
13721,2022-02-16,0.007668,145.87,1767880.0
13721,2022-02-17,-0.00617,144.97,1767880.0
13721,2022-02-18,-0.006484,144.03,1767880.0
13721,2022-02-22,0.010623,145.56,1767880.0
13721,2022-02-23,0.008244,146.75999,1767880.0
13721,2022-02-24,-0.010153,145.27,1767880.0
13721,2022-02-25,0.029394,149.53999,1767880.0
13721,2022-02-28,-0.011836,147.77,1768754.0
13721,2022-03-01,-0.000541,147.69,1768754.0
13721,2022-03-02,0.012729,149.57001,1768754.0
13721,2022-03-03,0.005616,150.41,1768754.0
13721,2022-03-04,0.000997,150.56,1768754.0
13721,2022-03-07,-0.007372,149.45,1768754.0
13721,2022-03-08,-0.01539,147.14999,1768754.0
13721,2022-03-09,0.011485,148.84,1768754.0
13721,2022-03-10,0.002217,149.17,1768754.0
13721,2022-03-11,-0.000737,149.06,1768754.0
13721,2022-03-14,0.020395,152.10001,1768754.0
13721,2022-03-15,0.024852,155.88,1768754.0
13721,2022-03-16,0.001091,156.05,1768754.0
13721,2022-03-17,0.016277,158.59,1768754.0
13721,2022-03-18,0.003846,159.2,1768754.0
13721,2022-03-21,0.005339,160.05,1768754.0
13721,2022-03-22,-0.00025,160.00999,1768754.0
13721,2022-03-23,-0.009937,158.42,1768754.0
13721,2022-03-24,0.011741,160.28,1768754.0
13721,2022-03-25,0.006551,161.33,1768754.0
13721,2022-03-28,0.003967,161.97,1768754.0
13721,2022-03-29,0.001296,162.17999,1768754.0
13721,2022-03-30,0.009681,163.75,1768754.0
13721,2022-03-31,-0.010015,162.11,1766285.0
13721,2022-04-01,0.003516,162.67999,1766285.0
13721,2022-04-04,-0.004856,161.89,1766285.0
13721,2022-04-05,0.009513,163.42999,1766285.0
13721,2022-04-06,0.033531,168.91,1766285.0
13721,2022-04-07,0.025872,173.28,1766285.0
13721,2022-04-08,0.009695,174.96001,1766285.0
13721,2022-04-11,-0.029321,169.83,1766285.0
13721,2022-04-12,-0.014838,167.31,1766285.0
13721,2022-04-13,-0.04154,158.95,1766285.0
13721,2022-04-14,0.021139,162.31,1766285.0
13721,2022-04-18,-0.018175,159.36,1766285.0
13721,2022-04-19,-0.018888,156.35001,1766285.0
13721,2022-04-20,0.002239,156.7,1766285.0
13721,2022-04-21,0.011615,158.52,1766285.0
13721,2022-04-22,-0.022269,154.99001,1766285.0
13721,2022-04-25,0.008452,156.3,1766285.0
13721,2022-04-26,-0.000768,156.17999,1766285.0
13721,2022-04-27,0.00922,157.62,1766285.0
13721,2022-04-28,-0.008311,156.31,1766285.0
13721,2022-04-29,-0.060329,146.88,1766285.0
13721,2022-05-02,0.00674,147.87,1766285.0
13721,2022-05-03,0.0117,149.60001,1766285.0
13721,2022-05-04,0.013302,151.59,1766285.0
13721,2022-05-05,0.003892,152.17999,1766285.0
13721,2022-05-06,0.004271,152.83,1766285.0
13721,2022-05-09,-0.012236,150.96001,1766285.0
13721,2022-05-10,0.007485,152.09,1766285.0
13721,2022-05-11,-0.000855,151.96001,1766285.0
13721,2022-05-12,0.015333,154.28999,1766285.0
13721,2022-05-13,-0.00512,153.5,1766285.0
13721,2022-05-16,0.012834,155.47,1766285.0
13721,2022-05-17,-0.004438,154.78,1766285.0
13721,2022-05-18,-0.015183,152.42999,1766285.0
13721,2022-05-19,-0.004658,151.72,1766285.0
13721,2022-05-20,-0.00468,151.00999,1766285.0
13721,2022-05-23,-0.019734,148.03,1766285.0
13721,2022-05-24,0.007296,149.11,1766285.0
13721,2022-05-25,0.019113,151.96001,1766285.0
13721,2022-05-26,-0.009147,150.57001,1766285.0
13721,2022-05-27,-0.003786,150.0,1766285.0
13721,2022-05-31,-0.017533,147.37,1767110.0
13721,2022-06-01,-0.009161,146.02,1767110.0
13721,2022-06-02,0.004999,146.75,1767110.0
13721,2022-06-03,0.002862,147.17,1767110.0
13721,2022-06-06,-0.004349,146.53,1767110.0
13721,2022-06-07,0.017812,149.14,1767110.0
13721,2022-06-08,0.000738,149.25,1767110.0
13721,2022-06-09,-0.025595,145.42999,1767110.0
13721,2022-06-10,-0.015334,143.2,1767110.0
13721,2022-06-13,-0.026397,139.42,1767110.0
13721,2022-06-14,-0.012911,137.62,1767110.0
13721,2022-06-15,0.003415,138.09,1767110.0
13721,2022-06-16,0.007676,139.14999,1767110.0
13721,2022-06-17,-0.006252,138.28,1767110.0
13721,2022-06-21,0.037533,143.47,1767110.0
13721,2022-06-22,0.028508,147.56,1767110.0
13721,2022-06-23,0.012808,149.45,1767110.0
13721,2022-06-24,0.019338,152.34,1767110.0
13721,2022-06-27,0.005251,153.14,1767110.0
13721,2022-06-28,-0.004244,152.49001,1767110.0
13721,2022-06-29,0.01082,154.14,1767110.0
13721,2022-06-30,-0.006358,153.16,1767110.0
13721,2022-07-01,0.004179,153.8,1767110.0
13721,2022-07-05,0.000845,153.92999,1767110.0
13721,2022-07-06,-0.009095,152.53,1767110.0
13721,2022-07-07,-0.003475,152.0,1767110.0
13721,2022-07-08,0.005592,152.85001,1767110.0
13721,2022-07-11,0.002486,153.23,1767110.0
13721,2022-07-12,-0.005025,152.46001,1767110.0
13721,2022-07-13,-0.002033,152.14999,1767110.0
13721,2022-07-14,-0.001972,150.44,1767110.0
13721,2022-07-15,0.021138,153.62,1767110.0
13721,2022-07-18,-0.026364,149.57001,1767110.0
13721,2022-07-19,0.001137,149.74001,1767110.0
13721,2022-07-20,-0.01369,147.69,1767110.0
13721,2022-07-21,0.000406,147.75,1767110.0
13721,2022-07-22,0.004873,148.47,1767110.0
13721,2022-07-25,0.011787,150.22,1767110.0
13721,2022-07-26,0.004327,150.87,1767110.0
13721,2022-07-27,0.001856,151.14999,1767110.0
13721,2022-07-28,-0.009262,149.75,1767110.0
13721,2022-07-29,-0.04167,143.50999,1767110.0
13721,2022-08-01,-0.022925,140.22,1767110.0
13721,2022-08-02,0.001212,140.39,1767110.0
13721,2022-08-03,0.00577,141.2,1767110.0
13721,2022-08-04,-0.016147,138.92,1767110.0
13721,2022-08-05,-0.006335,138.03999,1767110.0
13721,2022-08-08,0.016662,140.34,1767110.0
13721,2022-08-09,-0.000641,140.25,1767110.0
13721,2022-08-10,0.00492,140.94,1767110.0
13721,2022-08-11,0.008089,142.08,1767110.0
13721,2022-08-12,0.00366,142.60001,1767110.0
13721,2022-08-15,-0.002174,142.28999,1767110.0
13721,2022-08-16,0.001827,142.55,1767110.0
13721,2022-08-17,-0.007787,141.44,1767110.0
13721,2022-08-18,-0.001061,141.28999,1767110.0
13721,2022-08-19,0.003964,141.85001,1767110.0
