date,days,rate
2022-01-03,30.0,0.524269
2022-01-03,60.0,0.534101
2022-01-04,30.0,0.517584
2022-01-04,60.0,0.528552
2022-01-05,30.0,0.506105
2022-01-05,60.0,0.518776
2022-01-06,30.0,0.500335
2022-01-06,60.0,0.514002
2022-01-07,30.0,0.490655
2022-01-07,60.0,0.50579
2022-01-10,30.0,0.495915
2022-01-10,60.0,0.510516
2022-01-11,30.0,0.504855
2022-01-11,60.0,0.518708
2022-01-12,30.0,0.508014
2022-01-12,60.0,0.522055
2022-01-13,30.0,0.500806
2022-01-13,60.0,0.516415
2022-01-14,30.0,0.497903
2022-01-14,60.0,0.514501
2022-01-18,30.0,0.499901
2022-01-18,60.0,0.516681
2022-01-19,30.0,0.497426
2022-01-19,60.0,0.514841
2022-01-20,30.0,0.491414
2022-01-20,60.0,0.509879
2022-01-21,30.0,0.497524
2022-01-21,60.0,0.515479
2022-01-24,30.0,0.501972
2022-01-24,60.0,0.519885
2022-01-25,30.0,0.504578
2022-01-25,60.0,0.522767
2022-01-26,30.0,0.519072
2022-01-26,60.0,0.530722
2022-01-27,30.0,0.522825
2022-01-27,60.0,0.531819
2022-01-28,30.0,0.53072
2022-01-28,60.0,0.538
2022-01-31,30.0,0.531303
2022-01-31,60.0,0.538861
2022-02-01,30.0,0.532424
2022-02-01,60.0,0.540946
2022-02-02,30.0,0.529122
2022-02-02,60.0,0.539458
2022-02-03,30.0,0.532517
2022-02-03,60.0,0.544098
2022-02-04,30.0,0.527972
2022-02-04,60.0,0.54218
2022-02-07,30.0,0.52998
2022-02-07,60.0,0.546032
2022-02-08,30.0,0.523479
2022-02-08,60.0,0.542408
2022-02-09,30.0,0.504201
2022-02-09,60.0,0.528026
2022-02-10,30.0,0.49281
2022-02-10,60.0,0.52108
2022-02-11,30.0,0.47489
2022-02-11,60.0,0.508883
2022-02-14,30.0,0.467133
2022-02-14,60.0,0.505511
2022-02-15,30.0,0.467783
2022-02-15,60.0,0.509182
2022-02-16,30.0,0.469686
2022-02-16,60.0,0.513735
2022-02-17,30.0,0.470997
2022-02-17,60.0,0.517517
2022-02-18,30.0,0.470415
2022-02-18,60.0,0.519566
2022-02-22,30.0,0.47999
2022-02-22,60.0,0.530426
2022-02-23,30.0,0.487411
2022-02-23,60.0,0.539547
2022-02-24,30.0,0.484696
2022-02-24,60.0,0.539682
2022-02-25,30.0,0.481575
2022-02-25,60.0,0.539327
2022-02-28,30.0,0.484152
2022-02-28,60.0,0.543508
2022-03-01,30.0,0.49085
2022-03-01,60.0,0.550827
2022-03-02,30.0,0.489684
2022-03-02,60.0,0.551388
2022-03-03,30.0,0.486921
2022-03-03,60.0,0.550817
2022-03-04,30.0,0.488558
2022-03-04,60.0,0.553792
2022-03-07,30.0,0.488081
2022-03-07,60.0,0.554817
2022-03-08,30.0,0.486426
2022-03-08,60.0,0.554791
2022-03-09,30.0,0.484426
2022-03-09,60.0,0.554484
2022-03-10,30.0,0.480542
2022-03-10,60.0,0.552501
2022-03-11,30.0,0.475012
2022-03-11,60.0,0.549081
2022-03-14,30.0,0.474328
2022-03-14,60.0,0.550249
2022-03-15,30.0,0.47222
2022-03-15,60.0,0.550359
2022-03-16,30.0,0.47696
2022-03-16,60.0,0.556335
2022-03-17,30.0,0.479097
2022-03-17,60.0,0.56012
2022-03-18,30.0,0.479129
2022-03-18,60.0,0.562062
2022-03-21,30.0,0.479276
2022-03-21,60.0,0.564649
2022-03-22,30.0,0.481389
2022-03-22,60.0,0.569235
2022-03-23,30.0,0.480004
2022-03-23,60.0,0.57098
2022-03-24,30.0,0.482094
2022-03-24,60.0,0.575862
2022-03-25,30.0,0.483877
2022-03-25,60.0,0.580739
2022-03-28,30.0,0.485391
2022-03-28,60.0,0.585613
2022-03-29,30.0,0.48823
2022-03-29,60.0,0.591721
2022-03-30,30.0,0.489429
2022-03-30,60.0,0.596412
2022-03-31,30.0,0.492312
2022-03-31,60.0,0.602419
2022-04-01,30.0,0.498975
2022-04-01,60.0,0.611713
2022-04-04,30.0,0.508015
2022-04-04,60.0,0.622977
2022-04-05,30.0,0.507276
2022-04-05,60.0,0.625963
2022-04-06,30.0,0.508451
2022-04-06,60.0,0.630585
2022-04-07,30.0,0.515933
2022-04-07,60.0,0.640572
2022-04-08,30.0,0.521065
2022-04-08,60.0,0.648653
2022-04-11,30.0,0.52485
2022-04-11,60.0,0.655483
2022-04-12,30.0,0.529805
2022-04-12,60.0,0.663268
2022-04-13,30.0,0.532868
2022-04-13,60.0,0.669373
2022-04-14,30.0,0.534662
2022-04-14,60.0,0.674425
2022-04-18,30.0,0.542657
2022-04-18,60.0,0.684744
2022-04-19,30.0,0.556885
2022-04-19,60.0,0.700406
2022-04-20,30.0,0.571204
2022-04-20,60.0,0.716436
2022-04-21,30.0,0.587132
2022-04-21,60.0,0.734032
2022-04-22,30.0,0.591487
2022-04-22,60.0,0.742112
2022-04-25,30.0,0.60316
2022-04-25,60.0,0.7566
2022-04-26,30.0,0.613718
2022-04-26,60.0,0.769915
2022-04-27,30.0,0.624185
2022-04-27,60.0,0.782976
2022-04-28,30.0,0.641412
2022-04-28,60.0,0.801626
2022-04-29,30.0,0.655895
2022-04-29,60.0,0.818018
2022-05-02,30.0,0.672451
2022-05-02,60.0,0.836231
2022-05-03,30.0,0.688294
2022-05-03,60.0,0.853953
2022-05-04,30.0,0.707665
2022-05-04,60.0,0.874603
2022-05-05,30.0,0.722757
2022-05-05,60.0,0.891525
2022-05-06,30.0,0.73543
2022-05-06,60.0,0.906192
2022-05-09,30.0,0.747698
2022-05-09,60.0,0.919987
2022-05-10,30.0,0.763778
2022-05-10,60.0,0.936942
2022-05-11,30.0,0.780515
2022-05-11,60.0,0.954337
2022-05-12,30.0,0.800378
2022-05-12,60.0,0.974217
2022-05-13,30.0,0.82064
2022-05-13,60.0,0.994167
2022-05-16,30.0,0.840302
2022-05-16,60.0,1.013598
2022-05-17,30.0,0.860003
2022-05-17,60.0,1.033173
2022-05-18,30.0,0.875826
2022-05-18,60.0,1.049437
2022-05-19,30.0,0.892798
2022-05-19,60.0,1.06662
2022-05-20,30.0,0.909324
2022-05-20,60.0,1.083329
2022-05-23,30.0,0.923973
2022-05-23,60.0,1.098439
2022-05-24,30.0,0.938149
2022-05-24,60.0,1.112935
2022-05-25,30.0,0.95352
2022-05-25,60.0,1.12824
2022-05-26,30.0,0.970313
2022-05-26,60.0,1.144582
2022-05-27,30.0,0.986513
2022-05-27,60.0,1.160166
2022-05-31,30.0,1.005693
2022-05-31,60.0,1.178354
2022-06-01,30.0,1.023984
2022-06-01,60.0,1.195906
2022-06-02,30.0,1.04098
2022-06-02,60.0,1.212594
2022-06-03,30.0,1.047592
2022-06-03,60.0,1.22036
2022-06-06,30.0,1.054983
2022-06-06,60.0,1.228873
2022-06-07,30.0,1.065778
2022-06-07,60.0,1.240259
2022-06-08,30.0,1.074782
2022-06-08,60.0,1.249946
2022-06-09,30.0,1.072671
2022-06-09,60.0,1.25063
2022-06-10,30.0,1.069497
2022-06-10,60.0,1.250854
2022-06-13,30.0,1.074526
2022-06-13,60.0,1.25909
2022-06-14,30.0,1.08977
2022-06-14,60.0,1.276991
2022-06-15,30.0,1.110519
2022-06-15,60.0,1.299879
2022-06-16,30.0,1.135019
2022-06-16,60.0,1.32613
2022-06-17,30.0,1.146855
2022-06-17,60.0,1.34193
2022-06-21,30.0,1.165655
2022-06-21,60.0,1.363618
2022-06-22,30.0,1.188923
2022-06-22,60.0,1.388741
2022-06-23,30.0,1.218704
2022-06-23,60.0,1.419031
2022-06-24,30.0,1.250238
2022-06-24,60.0,1.45054
2022-06-27,30.0,1.284369
2022-06-27,60.0,1.484008
2022-06-28,30.0,1.314354
2022-06-28,60.0,1.513932
2022-06-29,30.0,1.344599
2022-06-29,60.0,1.543874
2022-06-30,30.0,1.375702
2022-06-30,60.0,1.574322
2022-07-01,30.0,1.40484
2022-07-01,60.0,1.602408
2022-07-05,30.0,1.434063
2022-07-05,60.0,1.630309
2022-07-06,30.0,1.464573
2022-07-06,60.0,1.659169
2022-07-07,30.0,1.495203
2022-07-07,60.0,1.688022
2022-07-08,30.0,1.526711
2022-07-08,60.0,1.717697
2022-07-11,30.0,1.55926
2022-07-11,60.0,1.748255
2022-07-12,30.0,1.588857
2022-07-12,60.0,1.776239
2022-07-13,30.0,1.620506
2022-07-13,60.0,1.806317
2022-07-14,30.0,1.654438
2022-07-14,60.0,1.838491
2022-07-15,30.0,1.687351
2022-07-15,60.0,1.869626
2022-07-18,30.0,1.72149
2022-07-18,60.0,1.901662
2022-07-19,30.0,1.756845
2022-07-19,60.0,1.934748
2022-07-20,30.0,1.790748
2022-07-20,60.0,1.966669
2022-07-21,30.0,1.82616
2022-07-21,60.0,1.999664
2022-07-22,30.0,1.8612
2022-07-22,60.0,2.031997
2022-07-25,30.0,1.897944
2022-07-25,60.0,2.065751
2022-07-26,30.0,1.934838
2022-07-26,60.0,2.099542
2022-07-27,30.0,1.970556
2022-07-27,60.0,2.132103
2022-07-28,30.0,2.009143
2022-07-28,60.0,2.166901
2022-07-29,30.0,2.04658
2022-07-29,60.0,2.200532
2022-08-01,30.0,2.084158
2022-08-01,60.0,2.234358
2022-08-02,30.0,2.115946
2022-08-02,60.0,2.263459
2022-08-03,30.0,2.148632
2022-08-03,60.0,2.293427
2022-08-04,30.0,2.182913
2022-08-04,60.0,2.324863
2022-08-05,30.0,2.210604
2022-08-05,60.0,2.351123
2022-08-08,30.0,2.235578
2022-08-08,60.0,2.375272
2022-08-09,30.0,2.262705
2022-08-09,60.0,2.40141
2022-08-10,30.0,2.291951
2022-08-10,60.0,2.429363
2022-08-11,30.0,2.319504
2022-08-11,60.0,2.455758
2022-08-12,30.0,2.34809
2022-08-12,60.0,2.482929
2022-08-15,30.0,2.375458
2022-08-15,60.0,2.508899
2022-08-16,30.0,2.399779
2022-08-16,60.0,2.532314
2022-08-17,30.0,2.424563
2022-08-17,60.0,2.55629
2022-08-18,30.0,2.454452
2022-08-18,60.0,2.584361
2022-08-19,30.0,2.481231
2022-08-19,60.0,2.609667
2022-08-22,30.0,2.504357
2022-08-22,60.0,2.631965
2022-08-23,30.0,2.522973
2022-08-23,60.0,2.65042
2022-08-24,30.0,2.537866
2022-08-24,60.0,2.665275
2022-08-25,30.0,2.557173
2022-08-25,60.0,2.684045
2022-08-26,30.0,2.566642
2022-08-26,60.0,2.694341
2022-08-29,30.0,2.57424
2022-08-29,60.0,2.703146
2022-08-30,30.0,2.58655
2022-08-30,60.0,2.716288
2022-08-31,30.0,2.604684
2022-08-31,60.0,2.734194
2022-09-01,30.0,2.622549
2022-09-01,60.0,2.752124
2022-09-02,30.0,2.629483
2022-09-02,60.0,2.760293
2022-09-06,30.0,2.641918
2022-09-06,60.0,2.773536
2022-09-07,30.0,2.660289
2022-09-07,60.0,2.791876
2022-09-08,30.0,2.680268
2022-09-08,60.0,2.811655
2022-09-09,30.0,2.692936
2022-09-09,60.0,2.825321
2022-09-12,30.0,2.711042
2022-09-12,60.0,2.84376
2022-09-13,30.0,2.72484
2022-09-13,60.0,2.85913
2022-09-14,30.0,2.742192
2022-09-14,60.0,2.87818
2022-09-15,30.0,2.766682
2022-09-15,60.0,2.903572
2022-09-16,30.0,2.785683
2022-09-16,60.0,2.924386
2022-09-19,30.0,2.807825
2022-09-19,60.0,2.947928
2022-09-20,30.0,2.827064
2022-09-20,60.0,2.968677
2022-09-21,30.0,2.845304
2022-09-21,60.0,2.988639
2022-09-22,30.0,2.862142
2022-09-22,60.0,3.007509
2022-09-23,30.0,2.875816
2022-09-23,60.0,3.02364
2022-09-26,30.0,2.885652
2022-09-26,60.0,3.036235
2022-09-27,30.0,2.902562
2022-09-27,60.0,3.054682
2022-09-28,30.0,2.920532
2022-09-28,60.0,3.073455
2022-09-29,30.0,2.939189
2022-09-29,60.0,3.092496
2022-09-30,30.0,2.952625
2022-09-30,60.0,3.10702
2022-10-03,30.0,2.975864
2022-10-03,60.0,3.129795
2022-10-04,30.0,3.000399
2022-10-04,60.0,3.153651
2022-10-05,30.0,3.02608
2022-10-05,60.0,3.178451
2022-10-06,30.0,3.047651
2022-10-06,60.0,3.199677
2022-10-07,30.0,3.068498
2022-10-07,60.0,3.220607
2022-10-10,30.0,3.0887
2022-10-10,60.0,3.240942
2022-10-11,30.0,3.11119
2022-10-11,60.0,3.263207
2022-10-12,30.0,3.132996
2022-10-12,60.0,3.284652
2022-10-13,30.0,3.156208
2022-10-13,60.0,3.30765
2022-10-14,30.0,3.173916
2022-10-14,60.0,3.326373
2022-10-17,30.0,3.195631
2022-10-17,60.0,3.348828
2022-10-18,30.0,3.211137
2022-10-18,60.0,3.366451
2022-10-19,30.0,3.230949
2022-10-19,60.0,3.388229
2022-10-20,30.0,3.242678
2022-10-20,60.0,3.403071
2022-10-21,30.0,3.259602
2022-10-21,60.0,3.422158
2022-10-24,30.0,3.271699
2022-10-24,60.0,3.436883
2022-10-25,30.0,3.281764
2022-10-25,60.0,3.449717
2022-10-26,30.0,3.28475
2022-10-26,60.0,3.456044
2022-10-27,30.0,3.284418
2022-10-27,60.0,3.459282
2022-10-28,30.0,3.287872
2022-10-28,60.0,3.46559
2022-10-31,30.0,3.288846
2022-10-31,60.0,3.469886
2022-11-01,30.0,3.293781
2022-11-01,60.0,3.477602
2022-11-02,30.0,3.293067
2022-11-02,60.0,3.480404
2022-11-03,30.0,3.300975
2022-11-03,60.0,3.490744
2022-11-04,30.0,3.313085
2022-11-04,60.0,3.504576
2022-11-07,30.0,3.333117
2022-11-07,60.0,3.525314
2022-11-08,30.0,3.347307
2022-11-08,60.0,3.540909
2022-11-09,30.0,3.367689
2022-11-09,60.0,3.561708
2022-11-10,30.0,3.39348
2022-11-10,60.0,3.586605
2022-11-11,30.0,3.413206
2022-11-11,60.0,3.606025
2022-11-14,30.0,3.440045
2022-11-14,60.0,3.631513
2022-11-15,30.0,3.466966
2022-11-15,60.0,3.656969
2022-11-16,30.0,3.494219
2022-11-16,60.0,3.682803
2022-11-17,30.0,3.522818
2022-11-17,60.0,3.709989
2022-11-18,30.0,3.549155
2022-11-18,60.0,3.735233
2022-11-21,30.0,3.577979
2022-11-21,60.0,3.762744
2022-11-22,30.0,3.60682
2022-11-22,60.0,3.790431
2022-11-23,30.0,3.640994
2022-11-23,60.0,3.822719
2022-11-25,30.0,3.683555
2022-11-25,60.0,3.861862
2022-11-28,30.0,3.723404
2022-11-28,60.0,3.898604
2022-11-29,30.0,3.760842
2022-11-29,60.0,3.9333
2022-11-30,30.0,3.786595
2022-11-30,60.0,3.957852
2022-12-01,30.0,3.813129
2022-12-01,60.0,3.982873
2022-12-02,30.0,3.837979
2022-12-02,60.0,4.006516
2022-12-05,30.0,3.857713
2022-12-05,60.0,4.025766
2022-12-06,30.0,3.877778
2022-12-06,60.0,4.044898
2022-12-07,30.0,3.894608
2022-12-07,60.0,4.061052
2022-12-08,30.0,3.91941
2022-12-08,60.0,4.084037
2022-12-09,30.0,3.947929
2022-12-09,60.0,4.109943
2022-12-12,30.0,3.975041
2022-12-12,60.0,4.134868
2022-12-13,30.0,3.995407
2022-12-13,60.0,4.153504
2022-12-14,30.0,4.00507
2022-12-14,60.0,4.16261
2022-12-15,30.0,4.009303
2022-12-15,60.0,4.167296
2022-12-16,30.0,4.009572
2022-12-16,60.0,4.168169
2022-12-19,30.0,4.02106
2022-12-19,60.0,4.178587
2022-12-20,30.0,4.032578
2022-12-20,60.0,4.188988
2022-12-21,30.0,4.046806
2022-12-21,60.0,4.201681
2022-12-22,30.0,4.057605
2022-12-22,60.0,4.211613
2022-12-23,30.0,4.069832
2022-12-23,60.0,4.22266
2022-12-27,30.0,4.084961
2022-12-27,60.0,4.236439
2022-12-28,30.0,4.095517
2022-12-28,60.0,4.246263
2022-12-29,30.0,4.103194
2022-12-29,60.0,4.253609
2022-12-30,30.0,4.10589
2022-12-30,60.0,4.256782
2023-01-03,30.0,4.111739
2023-01-03,60.0,4.26291
2023-01-04,30.0,4.121626
2023-01-04,60.0,4.272607
2023-01-05,30.0,4.133281
2023-01-05,60.0,4.283702
2023-01-06,30.0,4.137603
2023-01-06,60.0,4.288276
2023-01-09,30.0,4.13615
2023-01-09,60.0,4.287685
2023-01-10,30.0,4.133706
2023-01-10,60.0,4.286267
2023-01-11,30.0,4.136303
2023-01-11,60.0,4.289081
2023-01-12,30.0,4.137386
2023-01-12,60.0,4.290352
2023-01-13,30.0,4.130532
2023-01-13,60.0,4.284604
2023-01-17,30.0,4.124116
2023-01-17,60.0,4.279278
2023-01-18,30.0,4.114548
2023-01-18,60.0,4.271154
2023-01-19,30.0,4.106844
2023-01-19,60.0,4.264638
2023-01-20,30.0,4.102632
2023-01-20,60.0,4.260957
2023-01-23,30.0,4.101323
2023-01-23,60.0,4.259791
2023-01-24,30.0,4.100908
2023-01-24,60.0,4.259523
2023-01-25,30.0,4.10644
2023-01-25,60.0,4.264233
2023-01-26,30.0,4.113956
2023-01-26,60.0,4.270396
2023-01-27,30.0,4.117679
2023-01-27,60.0,4.273048
2023-01-30,30.0,4.114823
2023-01-30,60.0,4.270125
2023-01-31,30.0,4.112301
2023-01-31,60.0,4.26727
2023-02-01,30.0,4.109912
2023-02-01,60.0,4.264283
2023-02-02,30.0,4.113537
2023-02-02,60.0,4.266512
2023-02-03,30.0,4.113161
2023-02-03,60.0,4.265546
2023-02-06,30.0,4.114231
2023-02-06,60.0,4.266304
2023-02-07,30.0,4.118663
2023-02-07,60.0,4.270356
2023-02-08,30.0,4.12941
2023-02-08,60.0,4.280259
2023-02-09,30.0,4.128395
2023-02-09,60.0,4.280291
2023-02-10,30.0,4.130801
2023-02-10,60.0,4.283288
2023-02-13,30.0,4.135975
2023-02-13,60.0,4.288828
2023-02-14,30.0,4.141682
2023-02-14,60.0,4.295152
2023-02-15,30.0,4.148146
2023-02-15,60.0,4.302298
2023-02-16,30.0,4.152753
2023-02-16,60.0,4.308011
2023-02-17,30.0,4.145336
2023-02-17,60.0,4.303726
2023-02-21,30.0,4.141157
2023-02-21,60.0,4.302322
2023-02-22,30.0,4.138908
2023-02-22,60.0,4.302759
2023-02-23,30.0,4.141353
2023-02-23,60.0,4.307119
2023-02-24,30.0,4.139409
2023-02-24,60.0,4.307674
2023-02-27,30.0,4.143888
